문제,해설,정답
한국은행에서 기준금리를 비롯해 통화 관련 주요 정책을 결정할 때 핵심 역할을 하는 합의체 의사결정기구는?  ①금융감독원 ②금융위원회 ③금융지주회사 ④금융통화위원회 ⑤증권선물위원회 ,"통화정책은 통화량이나 금리를 조정하여 경기를 조절한다.재정정책과 함께2대 경제 정책으로 불린다.경제 정책 중 통화신용정책을 결정하는 기구가 바로 금융통화위원회다.금통위는 한국은행법에 의해 설치됐으며 한국은행의 업무운영관리에 관한 지시감독을 행사한다.금통위는 한국은행 총재와 국민경제 각 분야를 대표하는6인 등 총7인의 위원으로 구성되어 합의제로 운영되고 있다.금융위원회는 금융 산업의 선진화와 금융시장의 안정을 꾀하고,건전한 신용질서와 공정한 금융거래관행 확립을 위해 설립된 행정기관이다.정답④",
조세(tax)에 관한 다음 설명 중 옳은 것은?  ①부가가치세는 간접세이다. ②우리나라의 경우 국세에 비해 지방세의 비중이 더 크다. ③소득세 제도는 자동안정화장치(automatic stabilizer)와 무관하다. ④세율이 일정하다면 수요와 공급이 탄력적일수록 경제적 순손실이 작아진다. ⑤세율이 높아질수록 정부의 조세수입은 증가해 재정적자 완화에 도움이 된다. ,조세란 국민들로부터 거둬들인 세금이다.우리나라의 경우 국세 비중이 더 크다.부가가치세는 상품이나 서비스가 생산되거나 유통되는 모든 단계에서 얻어진 부가가치에 대해 과세하는 세금이다.부가가치세는 세금을 납부하는 사람과 실제로 부담하는 사람이 다른 세금인 간접세다.소득세는 누진세 구조이므로 경기변동이 발생하면 자동적으로 정부지출 또는 조세수입이 변화하여 경기의 진폭을 완화시키는 자동안정화장치의 수단이다.조세부과 시 경제 주체의 수요·공급의 탄력성이 높을수록 경제적 순손실이 커진다.세율이 계속 높아질수록 가계·기업의 경제활동을 위축시켜 오히려 너무 높은 세율은 정부의 조세수입을 감소시킨다.정답① ,
한국은행은 캐나다 그리고 스위스 중앙은행과‘이것’을 맺었다. 2008년 금융위기 당시 미국과‘이것’을 맺어 금융시장을 안정시켰다.서로 미리 약정한 환율에 따라 일정한 기한 내에 서로 다른 통화를 교환하는 외환거래를 뜻하는 용어는?  ①스프레드 ②환리스크 ③기축통화 ④통화스와프 ⑤스와프스프레드 ,"통화스와프는 말 그대로 통화를 교환(swap)한다는 뜻으로,서로 다른 통화를 미리 약정한 환율에 따라 일정한 시점에 상호 교환하는 외환거래다.기업은 물론 국가도 환율과 금리 변동에 따른 위험(리스크)을 헤지하거나 외화 유동성 확충을 위해 사용한다.한국과 캐나다 간에 통화스와프 계약이 체결돼 있으면 한·캐나다 양국은 필요할 때 자국 통화를 상대방 중앙은행에 맡기고 그에 상응하는 외화를 빌려와 쓸 수 있다. 2008년 글로벌 금융위기가 한국에 영향을 미쳐 환율이 급등했고 실물경기도 불안정했다.당시 미국과의 통화스와프 체결로 외환시장을 안정시켰다.통화스와프는 외환 안정 장치로 큰 역할을 한다.정답④",
우리나라의 기준금리가 인상되면 국내 경제에 여러 현상이 나타난다.옳은 설명은?  ①환율이 하락해 순수출이 감소한다. ②은행은 대출을 늘리기 위해 대출금리를 낮춘다. ③부동산 가격이 상승해 민간 소비가 증가한다. ④해외 자본이 유출돼 국내 통화의 가치가 상승한다. ⑤시중은행의 금리도 함께 상승해 자금 수요가 증가한다. ,기준금리는 한 나라의 금리를 대표하는 정책금리로 각종 금리의 기준이 된다.한국은행이 기준금리를 인상하면 국내 실물경제와 외환시장 등에 영향을 미친다.은행에선 기준금리 인상으로 자금 조달비용이 상승해 대출금리가 상승한다.금리가 상승하면 기업이나 개인은 자금 조달비용이 높아지기 때문에 자금 수요가 감소한다.대출 수요가 줄어들기 때문에 부동산이나 기타 분야의 투자도 감소하면서 부동산 가격이 하락한다.민간 소비도 감소한다.환율(원·달러)도 하락해 순수출이 감소한다.해외 자본이 외환시장으로 유입돼 국내 통화 가치가 상승한다.정답①,
"X국은 변동환율제도를 채택하고 있다. X국의 중앙은행은 보유 중이던 미국 달러를 매각하고 자국 통화를 매입하였다고 한다. <보기>중X국에서 나타나는 현상으로 옳은 것은?  <보   기> 가. X국의 이자율은 상승한다. 나. X국 중앙은행의 외환보유액은 증가한다. 다.X국 통화가치는 미국 달러 대비 상승한다. 라.중앙은행의 통화매입으로X국의 시중통화량은 증가한다.  ①가,나 ②가,다 ③나,라 ④가,다,라 ⑤나,다,라 ",변동환율제를 채택한X국의 중앙은행이 보유 중인 미국 화폐를 매각하고 자국 통화를 매입하면 자국의 통화가 중앙은행으로 흡수되는 것이므로 통화량이 감소한다.통화량 감소는 화폐공급곡선을 왼쪽으로 이동시켜 이자율 상승을 이끈다.미국 화폐를 매각하였으므로X국 중앙은행의 외환보유액은 감소한다. X국의 통화가치는 외환시장에서 자국 통화를 매입하고 미국 화폐를 매각하였으므로 변동환율제에서 자국 통화의 가치는 미국 달러 대비 상승한다. X국 중앙은행의 자국 통화에 대한 매입으로 시중 통화량은 감소한다.정답②,
"자료의 밑줄 친 행위에 대한 경제학적 해석으로 가장 옳지않은것은?  ○○전자 신임 경영진들이 연말 연초 잇따라자사주를 매입했다.사장3명이 연말과 연초에 걸쳐○○전자의 주식을139억 원어치 매입했고,비슷한 시기에4명의 주요 경영진도100주에서1000주 가까이 매입한 것으로 공시되었다.이는 책임 경영으로 중장기 성과를 내겠다는 의지로 해석된다.  ①도덕적 해이의 감소 ②정보 비대칭 문제 경감 ③레몬 시장의 취약성 해소 ④공시되지 않을 경우 내부자 거래 우려 ⑤주인(principal)과 대리인(agent)의 이해의 일치 ",주주와 경영진 간의 정보 비대칭 문제는 감추어진 행동이 문제가 되는 상황이다.주인인 주주 입장에서 볼 때 대리인인 경영진이 바람직스럽지 못한 행동을 하는 것을 우려한다.이를 주인-대리인 문제라 한다.이런 문제를 어느 정도 해결하기 위해 경영진은 본인이 일하는 회사의 주식을 매입한다.이는 경영진이 주주가 됨으로써 다른 주주들과 이해관계를 일치시켜 스스로 도덕적 해이의 가능성을 줄이는 행위로 이해할 수 있다.이러한 내부자에 의한 거래는 그 자체가 공개되지 않으면 회사에 대한 우월한 정보를 남용한 거래를 유발할 우려가 있어 공시 대상이 된다.레몬 시장의 취약성 해소는 역선택에 관한 것이다.정답③ ,
문제의 표현 방식에 따라 동일한 사건이나 상황임에도 불구하고 개인의 판단이나 선택이 달라질 수 있는 현상을 뜻한다.,,
," 한국은행권은 한국은행이 재무상태표에서 화폐발행부채로 표시하지만, 가상화폐(암호화폐)는 발행과 관련된 부채를 표시하는 주체가 없다. 정답②",
," 자사주란 회사가 보유한 자사 발행 주식을 의미한다. 자사주는 의결권이 없고 배당금이 지급되지 않는다. 자사주의 경우 발행주식수에는 포함되지만, 유통주식수에는 제외된다. 이익으로 소각하면 발행주식 총수의 감소로 자본금이 줄어들게 된다. 정답②",
," GDP갭이란 실제GDP와 잠재GDP의 차이를 나타낸다. GDP갭이 양의 값을나타내면 실제GDP > 잠재GDP인 상태다. 즉, 실제 경제 활동이 잠재GDP보다 높은 수준에서 이뤄지고 있어 앞으로 물가 상승의 가능성이 큰 상태다. 인플레 갭이라고도 한다. 생산가능곡선 내부에 위치할 가능성이 높은 것은 해당 경제의 생산요소를 제대로 활용하지 못한 상태이므로 GDP갭이 음의 값을 가진 경우다. 정답 ⑤",
," CPI는 고정된 상품조합으로 측정된 물가지수로 라스파이레스지수라 한다. 이는 과거의 고정된 상품조합으로 측정하기 때문에 물가지수를 과대평가하는 경향이 있다. 주택·토지 등의 부동산 가격은 PPI나 CPI에 포함되지 않는다. 신축주택은 GDP디플레이터에 포함되나, 기존 주택에 대한 투기에 의한 부동산 가격은 GDP디플레이터에 포함되지 않는다. 반면, 주택 임대료의 상승은 GDP디플레이터와 CPI에 포함된다. 정답③",
," 희귀함은 절대적인 양이 적음을 의미하지만 희소함은 욕망에 비해 상대적으로 부족함을 의미하므로 이 나라에서 구리는 희귀한 자원이지만 희소한 자원은 선호도가 높아 가격이 비싸진 철이 된다. 철을 더 많이 선택한 것을 가지고 비합리적인 선택이라고 할 수 없으며, 무제의 주어진 상황만으로 철과 구리의 특성을 평가할 수 없다. 정답 ①",
," 앰부시 마케팅(ambush marketing)이란 스포츠 이벤트에서 공식 후원업체가 아니면서 광고 문구 등을 통해 매복(ambush)하듯이 후원 업체라는 인상을 주어 고객의 시선을 모으는 판촉전략이다. 매복마케팅이라고도 한다. 니치 마케팅이란 니치(niche) 즉 틈새를 뜻하며, 소비자의 기호와 개성에 따라 시장을 세분화하여 소규모의 소비자를 대상으로 판매목표를 설정하는 것을 말한다, 정답③",
 다음 중 원유 가격이 상승할 경우 나타나는 상황으로 옳은 것은?   ①실업자가 많아진다. ②자동차 운행이 증가한다. ③절전기구를 덜 사용하게 된다. ④일반 상품들의 거래는 증가한다. ⑤대체에너지에 대한 수요가 감소한다. , 원유 가격이 상승할 경우 절전기구나 대체에너지 등 대체재에 대한 수요는 증가하게 된다. 원유가격의 상승은 전반적인 소비자 물가상승을 이끌어자동차 운행을 비롯한 일반적인 상품에 대한 수요의 감소로 이어진다. 수요의 감소는 기업의 실적악화로 이어져 기업 투자와 고용이 줄어든다. 따라서 실업자는 증가하게 된다. 정답①,
,"역선택은 정보를 갖지 못한 측의 입장에서 볼 때 감추어진 특성이 바람직하지 않게 작용하는 현상을 말한다.비대칭적 정보의 상황에서 정보를 가진 측이 자신의 특성을 감추려고 할 수도 있지만,신호(Signal)발송을 통해 적극적으로 알릴 수도 있다.예를 들어,좋은 질의 중고차의 소유자는 구매자에게 적절한 신호를 보내야만 자신의 차가 안 좋은 질의 중고차가 아님을 보여줄 수 있다.",③
"어떤 나라의 소비함수(C),투자지출(I),정부지출(G)및 조세징수액(T)이 다음과 같이 주어져 있다고 한다.균형국민소득은 얼마인가?(단위,천억)   C= 500 + 0.8(Y-T) I= 2,000, G= 1,000, T=1,000  ①7,000억 원 ②7,800억 원 ③1조 ④1조3,500억원  ⑤1조5,000억원 "," 균형국민소득 방정식은Y= C+I+G이다. 박스에 있는 식이나 수를 대입하면 500 + 0.8(Y-1,000) + 2,000 + 1,000 = Y 0,2Y=2,700 Y= 13,500 답은 1조 3,500억 원",.④
"다음 신문기사에서 말하는 이것은 무엇인가?이것은 자본·노동 등 생산요소를 최대한 투입해 물가상승을 유발하지 않고 달성할 수 있는 성장 역량을 의미한다.한 국가의 경제 기초체력이 어느 정도인지,이대로 가면 어떻게 될 것인지를 가늠케 해주는 중요한 장기 지표다.한은은이것이 급락한 요인을 세 가지로 설명했다.서비스업 발전 미흡,높은 규제수준으로 인한 생산성 하락,경제 불확실성에 따른 자본축적 부진이다.2017년7월15일,○○경제신문①국내총생산②잠재성장률③실질성장률④물가상승률⑤생산증가율잠재성장률이란 한나라의 경제가 보유하고 있는 자본,노동력,자원 등 모든 생산요소를 사용해서 물가상승을 유발하지 않으면서도 최대한 이룰 수 있는 경제성장률 전망치를 말한다.있는 자원을 최대한 활용해서 최고의 노력을 했을 때 얻을 수 있는 최대의 성장치라고 할 수 있다.한 나라의 경제 성장이 얼마나 가능하느냐를 가늠하는 성장 잠재력 지표로도 활용된다.정부와 한국은행은 통상5∼10년간 성장률을 감안해 산출하고 있다.잠재성장률이5%라면 물가상승 없이는5%를 초과해 성장하기 힘들다는 의미다.한편,잠재성장률과 달리 실질성장률은 한 나라의 경제가 실제로 생산한 모든 최종생산물의 시장가치를 말한다.폭발적인 호황으로 생산 요소가 정상 수준 이상으로 사용되면 실질성장률이 잠재성장률을 웃돌 수 있다.반면 불황기에는 높은 실업률,낮은 가동률 등에 의해 실질성장률이 잠재성장률을 밑돌게 된다. 정답② 이것은 자본·노동 등 생산요소를 최대한 투입해 물가상승을 유발하지 않고 달성할 수 있는 성장 역량을 의미한다.한 국가의 경제 기초체력이 어느 정도인지,이대로 가면 어떻게 될 것인지를 가늠케 해주는 중요한 장기 지표다. 한은은이것이 급락한 요인을 세 가지로 설명했다.서비스업 발전 미흡,높은 규제수준으로 인한 생산성 하락,경제 불확실성에 따른 자본축적 부진이다. 2017년7월15일,○○경제신문 ①국내총생산②잠재성장률③실질성장률④물가상승률⑤생산증가율","잠재성장률이란 한나라의 경제가 보유하고 있는 자본,노동력,자원 등 모든 생산요소를 사용해서 물가상승을 유발하지 않으면서도 최대한 이룰 수 있는 경제성장률 전망치를 말한다.있는 자원을 최대한 활용해서 최고의 노력을 했을 때 얻을 수 있는 최대의 성장치라고 할 수 있다. 한 나라의 경제 성장이 얼마나 가능하느냐를 가늠하는 성장 잠재력 지표로도 활용된다.정부와 한국은행은 통상5∼10년간 성장률을 감안해 산출하고 있다.잠재성장률이5%라면 물가상승 없이는5%를 초과해 성장하기 힘들다는 의미다.",②
"재화X의공급곡선이완전히탄력적이고수요곡선은비탄력적이라고가정하자.정부가종량세100원을부과했을때조세귀착은?①생산자가100원을부담한다.②소비자가100원을부담한다.③생산자와소비자모두가부담한다.④생산자와소비자아무도부담하지않는다.⑤알수없다.현실에서조세의무는법적으로정해진부담자와실질적인부담자가다른경우가많다.즉,세금부과로인해높아진가격때문에실제의조세부담이시장에서의가격조정과정을통해직·간접적으로타인에게전가되는경우가있는데이를‘조세의전가’라고한다.이러한조세전가를통해조세의실질적인부담이담세자에게귀속되는것을‘조세귀착’이라고한다.일반적으로생산자와소비자의상대적인조세부담의크기는탄력성이더큰주체의부담이작다.문제에서는 재화X에대한공급곡선은완전히탄력적이고수요곡선은비탄력적인극단적조세부담의경우로소비자가종량세100원모두를부담한다.정답②",,
공급측면에서인플레이션을발생시키는원인이아닌것은?,,①
"다음 중 재정 정책의 효과가 커질 수 있는 경우를 모두 고르면?가.투자가 이자율에 영향을 크게 받는다.나.투자가 이자율에 영향을 크게 받지 않는다.다.소비가 가처분소득 변화에 크게 영향을 받는다.라.소비가 가처분소득 변화에 크게 영향을 받지 않는다.마.재정 지출 확대에 대응한 조세 증가가 동시에 이뤄진다.①가,다②나,다③다,마④가,다,마⑤나,라,마재정 정책(fiscal policy)이란 정부 지출과 조세를 변화시켜 경제 성장,완전 고용 등의 정책 목표를 달성하려는 정책을 의미한다.정부가 확장적 재정 정책을 시행하면 이자율 상승에 따라 민간 투자가 감소하는 구축 효과가발생한다.만약 투자가 이자율에 크게 영향받으면 구축 효과가 커지므로 재정 정책의 효과가 감소한다.재정 지출을 통해 국민소득을 늘리는 효과가 발생하는데 이를 재정 승수라 한다.소비가 소득에 영향을 크게 받을수록 재정승수 효과로 인해 재정 정책의 효과가 커진다.즉, 정부 지출 증가→소득 증가→소비 증가 순으로 재정 정책의 승수효과가 발생하면 소득 증가에 따라 소비는 크게 늘어난다.재정 지출 확대에 따라 조세가 늘지 않으면 재정 정책 효과가 크다.정답②",,
, 'throw good money after bad' 라는 말은 이미 많은 돈을 낭비한 것에다 돈을 더 쓰다라는 의미로 매몰비용의 개념을 내포하고 있다. 매몰비용이란 한 번 지불하고 나면 회수할 수 없는 비용을 뜻한다. 이미 지불해 어떤 선택을 하든지 피할 수 없는 비용이 매몰비용이다. 기업의 광고비용이 이에 속한다. 문장에서 실패할 일에 쓴 돈을 잊지 못해서 계속해서 그 일을 지속하는 행위는 매몰 비용을 잊지 못하는 비합리적 선택이다. 정답.③,
"재원마련방안은고민하지않고선심성공약을쏟아내는것처럼대중적인기에영합하는행태나정책을가리키는용어는?①파시즘②포퓰리즘③매카시즘④매너리즘⑤마니에리즘포퓰리즘이란일반대중의인기에영합하는정치행태로대중주의라고도하며,인기영합주의·대중영합주의와같은뜻으로쓰인다.일반대중을정치의전면에내세우고동원시켜권력을유지하는정치체제를말한다.포퓰리즘을이끌어가는정치지도자들은권력과대중의정치적지지를얻으려고겉모양만보기좋은개혁을내세운다.이런정치세력은선거에서다수표를얻기위해무차별복지와같은공약을남발한다.선거로권력을뽑는민주주의의단점때문에발생한다는지적도있다.정답②",,
"다음은시장실패에대한설명이다.맞는설명끼리짝지어진것은?<보기>가.자연독점에의한불완전경쟁은시장실패의주요한원인이아니다.나.비배제성과비경합성을특징으로하는재화는과소공급되는경향이있다.다.공공재는불특정다수로부터거둬들인세금을재원으로공기업이공급하는재화를의미한다.라.긍정적인외부효과를가진재화나서비스는정부의보조금제공을통해생산량을증가시킬필요가있다.①가,나②가,다③나,다④나,라⑤다,라시장실패란시장이자원을효율적으로배분하지못할때를의미한다.자연독점에의한불완전경쟁은전형적인시장실패의원인이다.비배제성과비경합성을지닌재화및서비스는 공공재다.공공재는비용을부담한주체이외에모든사람이사용가능한특징때문에시장에서과소공급된다.공공재는재화나서비스의성격에따라분류된것이며,공급주체에따라분류된것이아니기때문에민간기업도공공재를공급할수있다.긍정적외부효과는사회적으로바람직한수준보다적게일어날개연성이크다.기초연구와같은분야가이에속한다.따라서보조금을제공하면생산량을증가시킬수있다.정답④",,
" <보기>의 빈 칸에 들어갈 적당한 표현끼리 짝지어진 것은?<보기>A국과B국 두 나라 사이의 환율이 오직 구매력 평가설에 의해서만 결정된다고 할 때, A국의 물가가B국의 물가보다 더 빠르게 상승한다면A국의 화폐가치는B국에 비해 상대적으로(ㄱ)하지만(ㄴ)환율은 변하지 않는다.① ㄱ-하락,ㄴ-실질② ㄱ-상승,ㄴ-실질③ ㄱ-하락,ㄴ-명목④ ㄱ-상승,ㄴ-명목⑤주어진 정보만으로는 알 수 없다.","구매력평가설은 환율이 양국통화의 구매력에 의하여 결정된다는 이론이다.기본가정은 동일한 재화에 대해서는 하나의 가격만 성립한다는 일물일가의 법칙이다.일물일가의 법칙이 성립하면 환율은 두 나라 물가수준의 비율로 나타낼 수 있는데,이를 절대적 구매력평가설이라고 한다.절대적 구매력평가설이 성립한다면 양국에서 생산된 재화의 가격이 동일하므로 실질환율은1이 된다.즉,구매력평가설을 따르면 물가 변동에 맞춰 명목환율이 변하므로 실질환율은 언제나 일정해진다.물가가 오르면 화폐가치는 하락한다.정답①",
경기침체 상황에서 한 나라의 총수요를 증가시키는 방법들을<보기>에서 고르면?,,①
아래 지문의 밑줄 친 이것에 대한 설명으로 옳지 않은 것은? 이것은 임직원에게 일정 기간이 지난 후 회사의 주식을 약정 당시의 가격으로 살 수 있는 권리를 주는 제도다. ①기업이 임직원들에게 부여하는 자사주 매입 권리를 뜻한다. ②임직원들에게 열심히 일할 수 있는 동기를 부여할 수 있다. ③벤처기업 등이 유능한 인재를 영입하기 위해 활용할 수 있다. ④이것을 받은 경우 옵션 행사가격이 주가보다 높더라도 반드시 행사해야 할 의무가 있다. ⑤이것을 받은 임직원은 미리 정해진 가격에 자기회사 주식을 정해진 물량만큼 살 수 있다.,"기업이 임직원에게 일정 기간이 지난 후에도 일정수량의 주식을 일정한 가격으로 살 수 있는 권한을 인정해 영업이익 확대나 상장 등으로 주식값이 오르면 그 차익을 볼 수 있게 하는 보상제도이다.벤처기업이 채용 당시 많은 임금을 보장할 수는 없지만,유능한 인재를 모을 때 많이 사용하는 제도이다.벤처기업의 경영실적이 호전돼 주가가 오를 경우 임직원들은 회사가 옵션을 제공할 때에 결정한 행사가격(exerciseprice)으로 주식을 취득한 뒤 시가대로 매도할 수 있다.행사가격과 시가와의 차액에 대한 세금을낸 뒤 나머지를 보상으로 챙기게 되는 것이다.이는 임직원들이 열심히 일할 동기를 부여한다.하지만 스톡옵션의 행사여부는 당사자 개인의 선택이다.또한,스톡옵션 행사가격이 주가보다 높으면 오히려 스톡옵션 행사는 당사자에게 손실이다.정답④ ",
 코스피200변동성지수(VKOSPI)가 큰 폭으로 치솟아 상당 기간 지속할 경우 나타날 수 있는 현상과 거리가먼것은?  ①공매도가 감소할 것이다. ②증권 계좌가 줄어들 것이다. ③투자자 예탁금이 감소할 것이다. ④증권 투자자들의 투자심리가 나빠질 것이다. ⑤코스피지수가 하락할 가능성이 높을 것이다. ,"증시의 변동성지수는 말 그대로 시장의 변동성을 측정하는 지표다.공포지수(Fear Index)라고 불리기도 한다.변동성지수가 상승하면 시장 참가자들의 투자심리가 불안하다는 뜻으로 해석할 수 있다. VKOSPI는 한국의 변동성지수, VIX는 미국의 변동성지수다.변동성지수가 큰 폭으로 오르는 것은 투자심리가 불안해 주가지수가 하락할 가능성이 크다.따라서 증권 투자를 위한 증권 계좌와 투자자 예탁금이 줄어들 가능성이 높다.반면 공매도는 늘어날 가능성이 크다.공매도는 주식을 빌려서 팔거나 없는 주식을 팔고 나중에 주식을 구해 되갚는 투자기법으로 주가가 하락할 때 활용된다.정답①",
다섯 명의 학생이‘채권(bond)’과 관련한 다양한 용어를 설명했다.다음 중틀린내용을 말한 사람은?,,④
 국제결제은행이 일반 은행에 권고하는 자기자본 비율을‘이것’비율이라고 한다.은행 경영의 건전성을 보여주는 지표인 이것은?  ①IMD ②BIS ③ROE ④CSV ⑤EPS ,"금융 규제 완화에 대응해 은행들의 경쟁은 더욱 치열해졌고,결국 은행들은 고위험·고수익 사업에 집중하게 됐다.이런 현상을 위험하다고 여긴 국제결제은행 산하 바젤위원회가1988년 은행의 파산을 막기 위해 은행 규제를 위한 최소한의 가이드라인을 제시한 것이BIS비율이다.이것은 은행 감독을 위한 국제 기준으로 은행이 위험자산 대비 자기자본을 얼마나 확보하고 있느냐를 나타내는 지표다.이 기준에 따라 적용대상 은행은 위험자산에 대해 최소8%이상 자기자본을 유지하도록 했다.즉 은행이 거래기업의 도산으로 부실채권이 갑자기 늘어나 경영위험에 빠져들게 될 경우 최소8%정도의 자기자본이 있어야 위기 상황에 대처할 수 있다는 것이다.정답②",
문제 아래 신문기사의 제목을 보고 빈칸에 가장 적합한 경제학적 용어를 고르면?  ·집밥 대신 외식…한국( A )역대 최저 ·일본( A ) 29년 만에 최고…조리식품 증가 및 엔저 영향  ①지니계수 ②빅맥지수 ③엥겔지수 ④슈바베지수 ⑤앳킨슨지수 ,"엥겔지수는 가계의 소비지출 중에서 식료품비가 차지하는 비중을 뜻한다.독일의 통계학자 엥겔이 연구를 통해 가계 소득이 높아질수록 식료품비 비중이 감소한다는 가계 소비의 특징을 발견했다.이를 엥겔법칙이라고 부른다.빅맥지수는 각 국가의 물가 수준을 비교하는 구매력평가지수의 일종으로,맥도날드 빅맥버거 가격을 기준으로 한다.지니계수는 소득불평등을 측정하는 지표이며,슈바베지수는 가계의 소비지출 중에서 전월세 비용이나 주택 관련 대출 상환금 등 주거비가 차지하는 비율을 말한다.앳킨슨지수는 사회 구성원의 주관적인 가치판단을 반영해 소득 분배의 불평등도를 관측하는 지수를 말한다.정답③",
,"과거 누적 손실과 부실 자산 등을 한꺼번에 한 회계연도 재무제표에 반영,잠재부실이나 손실을 털어내는 회계처리 방식을‘빅 배스(big bath)’라고 한다.  ‘목욕을 깨끗하게 해 몸에서 더러운 것을 없앤다’는 뜻에서 유래한 말이다. ‘빅배스’는 신임CEO가 전 경영진 재임 기간 중 부실을 털어내려 할때 주로 나타난다. ‘팻 핑거(fat finger)’는 굵은 손가락을 뜻하는 것으로 금융상품 트레이더들이 주문을 잘 못 입력해 발생하는 주문 실수를 가리키는 용어다. ‘쇼트 셀링(short selling)’은  보유하고 있지 않은 주식을 매도하는 것을 말한다.주가가 하락할 것으로 예상하고 주가가 하락했을 때 주식을 사들여 시세차익을 얻는 것을 주 목적으로 한다. ‘어닝 쇼크(earning shock)’는 기업이 시장에서 예상햇던 것보다 저조한 실적을 발표하여 주가에 영향을 미치는 현상을 일컫는 경제용어다. ‘윈도 드레싱(window dressing)’은 기관투자가들이 결산기에 투자수익률을 올리기 위해 주식을 집중적으로 사고파는 행위를 말한다.정답①",
,현재 시점에서 기업의 영업활동을 중단하고 청산할 경우 회수 가능한 금액의 가치를 청산가치라고 한다.이와 반대로 현재 시점에서 기업이 지속적인 영업을 한다고 가정해 자산을 평가하는 것을 존속가치라고 한다.청산가치가 존속가치보다 높다는 판단이 나오면 파산이 선고된다.정답② ,
,"네덜란드병은1950년대 말 북해에서 대규모 천연가스 유전을 발견한 네덜란드가 당시에는 에너지가격 상승에 따라 막대한 수입을 올렸지만,시간이 지나면서 통화가치 급등과 물가 상승,급격한 임금 상승을 유발하고,석유제품을 제외한 제조업 경쟁력을 떨어뜨려 극심한 경제적 침체를 맞았던 역사적 경험에서 유래된 용어다.특정 자원이 풍부한 것이 오히려 경제발전을 저해시킨다는 논리다. ‘자원의 저주’라고도 한다.정답⑤",
,"  SWOT분석은 미래의 외부환경 변화에 따른 기회(Opportunities),위협(Threats)요인과 기업의 내부능력에서 강점(Strengths),약점(Weaknesses)요인 분석을 통해 회사의 강점을 활용하거나,약점을 보완해 기회 요인을 극대화하고,위협요인을 극소화하는 등의 미래 전략대안을 개발하기 위한 경영도구다.이런 분석을 통해 경영자는 회사가 처한 시장 상황에 대한 인식을 할 수 있으며 앞으로의 전략을 수립하기 위한 중요한 자료로 삼을 수 있다.정답④ ",
,해설 현행 주택임대차보호법에 따르면 주거용 건물일 경우 세입자는2년 미만의 계약을 했더라도 자동으로 최대2년까지 살 수 있도록 보장받는다.집주인이 나가라고 해도2년까지는 임차인 의사가 우선이다.정답③ ,
,"총요소생산성은 정해진 노동,자본,원자재 등‘눈에 보이는’생산요소 외에 기술개발이나 경영혁신 같은‘눈에 보이지 않는’부문이 얼마나 많은 상품을 생산해내는지를 나타내는 생산 효율성 지표다.노동생산성뿐 아니라 근로자의 업무 능력,자본투자금액,기술도 등을 복합적으로 반영한 수치로 생산성을 분석하는 데 널리 활용되고 있다.잠재성장률은 한 나라의 경제가 보유하고 있는 자본,노동력 등 모든 생산요소를 사용해 물가 상승을 유발하지 않으면서도 최대한 이룰 수 있는 경제성장률 전망치를 말한다.정답④ ",
,"경제정책 관점에서 물가 안정을 위해 금리 인상과 양적완화 축소를 주장하는 사람들을 매파라고 부르고,경기부양과 성장을 위해 금리 인하와 양적완화 확대를 강조하는 세력을 비둘기파라고 부른다.정답⑤",
,"해설 준조세는 세금은 아니지만 실질적으로 세금과 같은 성격의 법정부담금이나 기부금,성금 등을 말한다.일반적으로 광의의 준조세는 법령상 근거를 두고 부과되는 법정부담금과 법령상의 부담 의무는 없으나 사실상 부담이 강제되는 기부금이나 성금 등의 비자발적 부담금을 포함한다.법정부담금은 특별부담금과 국민연금 등 사회보험료,과징금 등 행정제재금,행정수수료 등 행정 요금을 포함한다.정답⑤ ",
,"해설 조세는 경기를 자동적으로 안정화시키는 기능을 한다.경기가 나빠져 사람들의 소득이 줄면 자동적으로 세금을 덜 걷게 되므로 지나친 경기침체를 방지한다.반대로 경기가 좋을 때는 더 많은 세금을 거둬들이게 되므로 경기과열을 막는 효과를 가져온다. 2015년 우리나라 세금에서 국세가 차지하는 비중은75.4%,지방세는24.6%에 달했다.세율이 높아지면 일시적으로 세금을 더 걷을 수 있지만 지나치게 높은 세율은 오히려 소득을 낮춰 세수를 줄이는 효과를 가져온다.부가가치세와 특별소비세는 납세의무자와 담세자가 일치하지 않는 간접세다.세율이 일정하다면 수요와 공급이 탄력적일수록 경제적 순손실이 커진다.정답③",
,"식료품에 시장가격보다 낮은 수준에서 가격의 상한선을 정하는 가격상한제를 시행하면 수요가 늘어나고 공급이 달려 그 재화의 부족 현상이 나타난다.그래서 판매자들은 다수의 잠재 고객 가운데 일부를 선별해 희소한 재화를 할당할 수밖에 없다.예를 들어 일찍부터 줄을 선 사람들에게 우선적으로 재화를 판매할 수도 있고,판매자의 취향에 따라 친구나 친척 등에게만 재화를 공급할 수도 있다.가격상한제로 인해 원하는 재화를 얻지 못하는 소비자들을 겨냥해 높은 가격에 그 재화를 판매하는 암시장도 생겨난다.가격상한제가 실시된다고 해서 아무도 공급하지 않는 것이 아니라 상한가격보다 낮은 비용으로 생산할 수 있는 생산자들은 공급할 것이다.정답③",
